id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
35522295,"HUGE Art-Loft Warehouse in Bushwick, Brooklyn",34842022669,unconfirmed,Cristóbal,Brooklyn,Bushwick,40.70748,-73.92192,United States,US,True,flexible,Entire home/apt,2006.0,$888 ,$178 ,3.0,13.0,11/12/2021,0.31,3.0,1.0,0.0,,
35522848,Clean & sunny room in Harlem Manhattan,44276754120,verified,Kaz,Manhattan,Harlem,40.81242,-73.94209,United States,US,True,flexible,Private room,2004.0,$864 ,$173 ,30.0,4.0,11/12/2021,0.12,5.0,161.0,354.0,,
35523400,LAVISH 3 Bedroom in Williamsburg!!,21035528789,verified,Inez,Brooklyn,Bedford-Stuyvesant,40.69526,-73.93985,United States,US,False,flexible,Entire home/apt,2020.0,$258 ,$52 ,30.0,19.0,11/12/2021,0.55,5.0,1.0,251.0,,
35523952,Perfect Brooklyn Neighborhood Apartment,90298367115,verified,David & Manny,Brooklyn,South Slope,40.66262,-73.98747,United States,US,True,strict,Entire home/apt,2019.0,"$1,138 ",$228 ,14.0,24.0,11/12/2021,0.77,5.0,1.0,4.0,,
35524504,Brooklyn Junction I:  Minutes from NYC & Airports,23462683402,verified,Mike @ New Age Tech,Brooklyn,Cypress Hills,40.67739,-73.90007,United States,US,True,flexible,Private room,2020.0,$75 ,$15 ,3.0,37.0,11/12/2021,1.43,2.0,3.0,175.0,,
35525057,Spectacular 2bdrm Penthouse W/huge private terrace,54164290621,unconfirmed,Adanna,Manhattan,East Harlem,40.78781,-73.94687,United States,US,False,flexible,Entire home/apt,2005.0,$127 ,$25 ,30.0,5.0,11/12/2021,0.3,4.0,1.0,180.0,,
35525609,Alphabet City Spring,42602444364,unconfirmed,Kirk,Manhattan,East Village,40.72956,-73.97973,United States,US,True,flexible,Private room,2006.0,$113 ,$23 ,30.0,3.0,11/12/2021,0.34,5.0,1.0,241.0,,
35526161,Sunny! Manhattan Room. By everything with King Bed,24113972708,unconfirmed,Kdn,Manhattan,Inwood,40.86554,-73.92523,United States,US,False,strict,Private room,2018.0,$555 ,$111 ,2.0,2.0,11/12/2021,0.37,3.0,3.0,84.0,,
35526714,Central Park Quiet 1BR,74086768970,unconfirmed,Stanton,Manhattan,Upper West Side,40.79184,-73.96757,United States,US,True,moderate,Entire home/apt,2008.0,$437 ,$87 ,90.0,11.0,11/11/2021,0.16,2.0,4.0,277.0,,
35527266,1BR Condo with Workspace and  Verizon FiOS! #10253,48983770080,verified,Dan,Brooklyn,Park Slope,40.67695,-73.9793,United States,US,False,moderate,Entire home/apt,2019.0,$292 ,$58 ,30.0,62.0,11/11/2021,1.14,4.0,1.0,31.0,,
35527818,Artist place near Prospect park. Entire apt,70521018180,verified,Julia,Brooklyn,Flatbush,40.65058,-73.96199,United States,US,False,flexible,Entire home/apt,2005.0,$298 ,$60 ,30.0,16.0,11/11/2021,0.35,4.0,1.0,43.0,,
35528371,"Entire  apartment, safe, separate entrance, garden",94459587561,unconfirmed,Charlotte & Aaron,Brooklyn,Midwood,40.62684,-73.96276,United States,US,False,flexible,Entire home/apt,2015.0,$206 ,$41 ,30.0,24.0,11/11/2021,0.59,2.0,1.0,266.0,,
35528923,Heart of Flatbush Flat,862834181,verified,Akili,Brooklyn,East Flatbush,40.65262,-73.95058,United States,US,False,flexible,Entire home/apt,2005.0,$154 ,$31 ,3.0,4.0,11/11/2021,0.24,5.0,1.0,0.0,,
35529475,Bright and modern 3 BR in Financial District,70834921655,unconfirmed,Celine,Manhattan,Financial District,40.70507,-74.00777,United States,US,False,flexible,Entire home/apt,2007.0,$539 ,$108 ,30.0,1.0,11/11/2021,0.26,5.0,5.0,288.0,,
35530027,En-suite Master Bedroom in the center of Flushing!,65519636966,verified,Dee,Queens,Fresh Meadows,40.75045,-73.78679,United States,US,True,strict,Private room,2012.0,$132 ,$26 ,7.0,4.0,11/11/2021,0.36,2.0,10.0,316.0,,
35530580,Nice and Cozy room close to Manhattan,635525656,unconfirmed,Priscilla,Queens,Ditmars Steinway,40.77396,-73.91778,United States,US,True,moderate,Private room,2016.0,$539 ,$108 ,1.0,1.0,11/11/2021,0.21,3.0,2.0,0.0,,
35531132,"Sunny apartment -Train,Bus & St. John’s Uni",32812127929,verified,Sufia,Queens,Jamaica,40.71053,-73.79014,United States,US,False,strict,Private room,2011.0,$733 ,$147 ,30.0,19.0,11/10/2021,0.2,4.0,1.0,362.0,,
35531684,SOHA Clean & Cozy ZEN-Style Rm Near All - Harlem,11710356637,verified,Michelle,Manhattan,Harlem,40.80468,-73.94913,United States,US,False,flexible,Private room,2005.0,$99 ,$20 ,30.0,51.0,11/10/2021,0.77,3.0,2.0,110.0,,
35532237,Green Apple Suite Harlem NYC BROWNSTONE,90549798737,unconfirmed,Ephraim,Manhattan,Harlem,40.81621,-73.94669,United States,US,False,moderate,Entire home/apt,2018.0,$317 ,$63 ,5.0,170.0,11/10/2021,2.42,5.0,4.0,0.0,,
35532789,Cozy room in Roosevelt Island.,26969548045,verified,Juan,Manhattan,Roosevelt Island,40.76367,-73.94927,United States,US,True,strict,Private room,2009.0,$647 ,$129 ,8.0,3.0,11/10/2021,0.08,5.0,2.0,26.0,,
35533341,The Corky Hale Room at The Harlem Flophouse,71298669974,unconfirmed,René,Manhattan,Harlem,40.8093,-73.95204,United States,US,False,strict,Private room,2009.0,$701 ,$140 ,1.0,43.0,11/10/2021,0.71,3.0,4.0,258.0,,
35533894,Stunning Studio Loft in West Chelsea Brownstone,17911408018,unconfirmed,Lena,Manhattan,Chelsea,40.74491,-74.00162,United States,US,True,flexible,Entire home/apt,2008.0,$112 ,$22 ,30.0,45.0,11/10/2021,0.8,2.0,1.0,207.0,,
35534446,White 2 Bedroom 2 Bath Near Times Square West Side,77352150795,unconfirmed,Fad,Manhattan,Hell's Kitchen,40.76821,-73.99074,United States,US,True,strict,Entire home/apt,2014.0,$77 ,$15 ,30.0,4.0,11/10/2021,0.13,5.0,5.0,335.0,,
35534998,2BR steps from Bell Blvd and Bayside Train Station,73016411582,verified,Noelle,Queens,Bayside,40.76317,-73.76734,United States,US,False,strict,Entire home/apt,2008.0,$488 ,$98 ,30.0,13.0,11/10/2021,0.43,2.0,4.0,349.0,,
35535550,"Stylish 1BR in Upper West Side, Pet-Friendly",23853836706,verified,Zeus,Manhattan,Upper West Side,40.77371,-73.98043,United States,US,True,strict,Entire home/apt,2005.0,$585 ,$117 ,30.0,10.0,11/10/2021,0.42,2.0,34.0,278.0,,
35536103,"Gild Hall - Luxury Hotel, Premium King Guestroom",96980723329,unconfirmed,Gild Hall,Manhattan,Financial District,40.70679,-74.00821,United States,US,True,moderate,Private room,2019.0,$604 ,$121 ,1.0,12.0,11/10/2021,0.95,3.0,9.0,363.0,,
35536655,European Charm,95871502414,verified,Maria,Queens,Ridgewood,40.70661,-73.90804,United States,US,True,moderate,Shared room,2022.0,"$1,150 ",$230 ,31.0,1.0,11/10/2021,0.21,3.0,1.0,0.0,,
35537207,# 2 One Lexury Bedroom close to JFK AIRPORT,12648350548,verified,Gelen,Queens,Springfield Gardens,40.664089,-73.754173,United States,US,True,moderate,Private room,2009.0,$943 ,$189 ,3.0,9.0,11/10/2021,0.8,5.0,5.0,365.0,,
35537760,Cozy studio in East Village,67293095486,unconfirmed,Hannah,Manhattan,East Village,40.72411,-73.98386,United States,US,False,moderate,Entire home/apt,2008.0,$326 ,$65 ,20.0,4.0,11/10/2021,0.35,3.0,1.0,74.0,,
35538312,"Minimal, cozy and airy room in Williamsburg.",81591785644,verified,Pilar,Brooklyn,Williamsburg,40.70668,-73.95478,United States,US,True,flexible,Private room,2014.0,$494 ,$99 ,4.0,8.0,11/10/2021,0.63,2.0,2.0,0.0,,
35538864,One bedroom in heart of West Village,77183332357,unconfirmed,Dane,Manhattan,West Village,40.73017,-74.00663,United States,US,True,moderate,Entire home/apt,2017.0,"$1,005 ",$201 ,5.0,2.0,11/10/2021,0.19,3.0,1.0,0.0,,
35539417,A+ Location Double over Double Loft Bed Studio,49212556216,verified,Nomad,Manhattan,Midtown,40.74639,-73.987,United States,US,True,flexible,Entire home/apt,2008.0,$277 ,$55 ,1.0,2.0,11/10/2021,0.21,2.0,53.0,0.0,,
35539969,Covid19 immune / nyu clean safe space great area,60804955827,verified,Mike,Manhattan,Greenwich Village,40.73547,-73.99807,United States,US,False,flexible,Private room,2013.0,$855 ,$171 ,21.0,90.0,11/9/2021,0.83,2.0,2.0,59.0,,
35540521,Gorgeous pre war rowhouse apartment,96025410264,unconfirmed,Velma,Brooklyn,Bedford-Stuyvesant,40.68403,-73.94271,United States,US,False,flexible,Entire home/apt,2011.0,$495 ,$99 ,30.0,70.0,11/9/2021,0.78,2.0,4.0,263.0,,
35541073,Beautiful room with bathroom,62261951696,verified,Claudina,Brooklyn,Bedford-Stuyvesant,40.69281,-73.93759,United States,US,False,strict,Private room,2019.0,"$1,047 ",$209 ,2.0,27.0,11/9/2021,0.3,4.0,4.0,311.0,,
35541626,Adorable Studio in Heart of BKLYN,6268316412,unconfirmed,Madeline,Brooklyn,Fort Greene,40.69112,-73.9724,United States,US,False,moderate,Entire home/apt,2016.0,"$1,040 ",$208 ,5.0,90.0,11/9/2021,1.05,4.0,1.0,4.0,,
35542178,Perfect UES; steps from Park Ave,34562975056,unconfirmed,Robert,Manhattan,Upper East Side,40.76448,-73.96619,United States,US,True,flexible,Entire home/apt,2011.0,$336 ,$67 ,7.0,30.0,11/9/2021,0.37,3.0,1.0,0.0,,
35542730,Prime East Village *Spacious,53921860305,unconfirmed,Raanan,Manhattan,East Village,40.73001,-73.97933,United States,US,False,strict,Entire home/apt,2015.0,"$1,059 ",$212 ,30.0,6.0,11/9/2021,0.09,,11.0,289.0,,
35543283,Luxury Loft With Balcony in the Heart of Brooklyn,79399485860,verified,Jeremy,Brooklyn,Fort Greene,40.68732,-73.97888,United States,US,True,flexible,Entire home/apt,2006.0,$192 ,$38 ,30.0,22.0,11/9/2021,0.31,,1.0,190.0,,
35543835,Spacious private room with private bathroom,27670871637,verified,FuKang,Queens,Fresh Meadows,40.73858,-73.79305,United States,US,True,flexible,Private room,2003.0,$871 ,$174 ,1.0,189.0,11/9/2021,3.27,,6.0,247.0,,
35544387,DOUBLE SHARED BATHROOM,26113239287,unconfirmed,Reservation Desk,Manhattan,Gramercy,40.73492,-73.98454,United States,US,False,moderate,Private room,2008.0,$414 ,$83 ,30.0,5.0,11/9/2021,0.11,,14.0,331.0,,
35544940,"Enjoy Cozy, Quiet, Safe & Convenient Living in NYC",19095364103,unconfirmed,Chi,Brooklyn,Bensonhurst,40.61334,-73.98714,United States,US,True,flexible,Entire home/apt,2010.0,$462 ,$92 ,30.0,14.0,11/9/2021,0.3,,2.0,208.0,,
35545492,"Aliz Hotel Times Square, Standard Guest Room",81834744009,verified,Aliz Hotel Times Square,Manhattan,Hell's Kitchen,40.75727,-73.99071,United States,US,False,strict,Private room,2012.0,"$1,061 ",$212 ,1.0,174.0,11/9/2021,6.33,,5.0,282.0,,
35546044,The Residences at W New York - Downtown - Apt 27D,43741555866,unconfirmed,Zeus,Manhattan,Financial District,40.71035,-74.01427,United States,US,False,strict,Entire home/apt,2008.0,$161 ,$32 ,30.0,2.0,11/9/2021,0.1,,34.0,333.0,,
35546596,Huge Luxurious 3 Bedroom/2 Bath Perfect for kids,47363313462,unconfirmed,Damien,Manhattan,Upper West Side,40.79721,-73.96916,United States,US,True,flexible,Entire home/apt,2005.0,$245 ,$49 ,3.0,4.0,11/9/2021,0.24,3.0,1.0,338.0,,
35547149,★ Designer 3BR Bay/Bridge Views Historic Details,15246313813,unconfirmed,Svetlana,Brooklyn,Bay Ridge,40.63171,-74.03181,United States,US,True,moderate,Entire home/apt,2015.0,$238 ,$48 ,3.0,7.0,11/9/2021,0.6,4.0,1.0,34.0,,
35547701,BEAUTIFUL BEDROOM IN MANHATTAN,70617959346,verified,Luz Maria,Manhattan,Washington Heights,40.84443,-73.93884,United States,US,False,flexible,Private room,2016.0,$52 ,$10 ,1.0,12.0,11/9/2021,1.63,5.0,6.0,338.0,,
35548253,Two full beds Room | PRIVATE BATHROOM,43227597317,verified,Alex,Manhattan,Hell's Kitchen,40.75628,-73.9935,United States,US,True,moderate,Private room,2022.0,$158 ,$32 ,30.0,1.0,11/9/2021,0.26,5.0,50.0,273.0,,
35548806,"Nesva Hotel, King Premium Balcony",46867458535,verified,Nesva Hotel,Queens,Long Island City,40.75272,-73.93404,United States,US,False,strict,Private room,2004.0,$270 ,$54 ,1.0,4.0,11/9/2021,0.67,4.0,13.0,365.0,,
35549358,Upper East Side Gem!,4933813763,unconfirmed,Daniel,Manhattan,Upper East Side,40.77395,-73.95153,United States,US,False,moderate,Entire home/apt,2020.0,$627 ,$125 ,30.0,98.0,11/8/2021,1.16,2.0,1.0,273.0,,
35549910,"home, sweet home :-)  English, русский,  עברית",27692673803,unconfirmed,Irisha,Queens,Fresh Meadows,40.74205,-73.787,United States,US,False,moderate,Entire home/apt,2007.0,$602 ,$120 ,1.0,68.0,11/8/2021,0.98,4.0,3.0,179.0,,
35550463,Renovated sunny studio,43513040649,unconfirmed,Soonbin,Brooklyn,Fort Greene,40.6884,-73.97248,United States,US,False,flexible,Entire home/apt,2007.0,$626 ,$125 ,5.0,18.0,11/8/2021,0.27,5.0,1.0,220.0,,
35551015,A Cozy Harlem Stay,64344388875,verified,Devon,Manhattan,Harlem,40.82215,-73.94576,United States,US,False,moderate,Private room,2010.0,$538 ,$108 ,30.0,6.0,11/8/2021,0.11,2.0,7.0,344.0,,
35551567,East Village: Entire 2BR Penthouse (2020 Enhanced),20961713356,unconfirmed,Nicholas,Manhattan,East Village,40.73113,-73.98442,United States,US,True,moderate,Entire home/apt,2014.0,"$1,057 ",$211 ,30.0,32.0,11/8/2021,0.62,2.0,3.0,44.0,,
35552119,COZY BED ROOM 10 MIN FR JFK&TRAIN WITH PVT BATH,98280718071,verified,Ode,Queens,St. Albans,40.68514,-73.76958,United States,US,False,strict,Private room,2003.0,$385 ,$77 ,5.0,27.0,11/8/2021,0.75,3.0,3.0,270.0,,
35552672,Cozy Fully Furnished,87897792397,unconfirmed,Christina,Brooklyn,Prospect-Lefferts Gardens,40.65932,-73.95974,United States,US,True,flexible,Entire home/apt,2018.0,$303 ,$61 ,30.0,11.0,11/8/2021,0.36,3.0,1.0,300.0,,
35553224,Queens village cozy apartment,22960117844,unconfirmed,Augustine,Queens,Queens Village,40.72733,-73.73571,United States,US,False,flexible,Entire home/apt,2017.0,$913 ,$183 ,7.0,21.0,11/8/2021,1.41,5.0,1.0,179.0,,
35553776,SSB 13. SINGLE SHARED BATHROOM.,84942803939,unconfirmed,Reservation Desk,Manhattan,Gramercy,40.73547,-73.98548,United States,US,True,strict,Private room,2018.0,$963 ,$193 ,30.0,1.0,11/8/2021,0.21,4.0,14.0,259.0,,
35554329,The Boogie Down Exchange,84357648268,unconfirmed,Hezekiah,Bronx,Fordham,40.86303,-73.89839,United States,US,False,strict,Entire home/apt,2012.0,"$1,152 ",$230 ,30.0,9.0,11/8/2021,0.38,5.0,1.0,154.0,,
35554881,The People's Brownstone,13179680663,unconfirmed,Carol Ann,Manhattan,Harlem,40.81422,-73.94513,United States,US,True,strict,Entire home/apt,2015.0,$832 ,$166 ,3.0,6.0,11/8/2021,0.42,2.0,2.0,89.0,,
35555433,Beautiful King Bed Hotel Room,15306308742,unconfirmed,Justin,Manhattan,Financial District,40.70657,-74.00426,United States,US,False,moderate,Private room,2016.0,$50 ,$10 ,1.0,25.0,11/8/2021,1.64,4.0,102.0,52.0,,
35555986,Central Park Apartments Furnished studio Rental 14,41750214167,unconfirmed,JRAC Manhattan Realty,Manhattan,Upper West Side,40.79565,-73.96152,United States,US,True,flexible,Entire home/apt,2010.0,"$1,011 ",$202 ,30.0,3.0,11/8/2021,0.45,4.0,34.0,243.0,,
35556538,Fenix Living NoLiTa — Mulberry St Cozy Studio,13777837380,verified,Fenix,Manhattan,Nolita,40.72359,-73.99469,United States,US,False,moderate,Entire home/apt,2010.0,$168 ,$34 ,30.0,3.0,11/8/2021,0.41,4.0,6.0,62.0,,
35557090,Modern Private ROOM,3638560773,unconfirmed,Kristina,Brooklyn,Kensington,40.63348,-73.97461,United States,US,False,moderate,Private room,2015.0,$262 ,$52 ,30.0,3.0,11/8/2021,0.45,2.0,11.0,365.0,,
35557642,Spacious 2BR/2BA! Heart of Midtown Manhattan!,6480284390,verified,Jannah,Manhattan,Theater District,40.75936,-73.98736,United States,US,False,moderate,Entire home/apt,2012.0,$243 ,$49 ,30.0,4.0,11/8/2021,0.62,5.0,1.0,104.0,,
35558195,Modern Private ROOM with Private Bathroom,34487179540,verified,Alex,Manhattan,Hell's Kitchen,40.75532,-73.9939,United States,US,False,flexible,Private room,2011.0,$560 ,$112 ,30.0,1.0,11/8/2021,0.25,3.0,50.0,364.0,,
35558747,Queen sized Bdr W/ direct backyard access,93089378663,unconfirmed,David,Brooklyn,Bushwick,40.69098,-73.9242,United States,US,True,strict,Private room,2017.0,$718 ,$144 ,2.0,4.0,11/8/2021,0.8,4.0,3.0,247.0,,
35559299,Stylish Studio with exclusive Terrace,61250092180,unconfirmed,Daniel,Manhattan,Midtown,40.75408,-73.97071,United States,US,True,strict,Entire home/apt,2009.0,$152 ,$30 ,29.0,151.0,11/7/2021,1.19,4.0,1.0,42.0,,
35559852,All Inclusive Brooklyn Getaway w/fast WiFi,57136440621,unconfirmed,Diana,Brooklyn,Crown Heights,40.6719,-73.92711,United States,US,False,moderate,Entire home/apt,2004.0,$850 ,$170 ,30.0,1.0,11/7/2021,0.25,2.0,1.0,356.0,,
35560404,"Chic, Modern Apt Near Central Park!",50864522046,unconfirmed,AFI Apartments,Manhattan,Upper East Side,40.77141,-73.95548,United States,US,True,moderate,Entire home/apt,2018.0,$895 ,$179 ,30.0,8.0,11/7/2021,0.09,3.0,30.0,333.0,,
35560956,"Large apartment, 2BR, Midtown NYC! 3D",70333295062,verified,Nina,Manhattan,Midtown,40.75076,-73.98262,United States,US,False,strict,Entire home/apt,2019.0,$940 ,$188 ,30.0,14.0,11/7/2021,0.17,4.0,13.0,210.0,,
35561509,"Private, quiet spacious room with tons of sun!",95429629101,unconfirmed,Joshua,Queens,Astoria,40.75671,-73.92483,United States,US,True,flexible,Private room,2013.0,$758 ,$152 ,30.0,93.0,11/7/2021,1.08,5.0,1.0,241.0,,
35562061,Sunny Private Room/Single Bed,78952368255,verified,Myrta,Brooklyn,Park Slope,40.66933,-73.98204,United States,US,True,strict,Private room,2014.0,$207 ,$41 ,30.0,43.0,11/7/2021,0.52,4.0,1.0,322.0,,
35562613,"Private 1 Bdrm, 1Bth, UES in NYC",40997672106,verified,David Sean,Manhattan,Upper East Side,40.77547,-73.95221,United States,US,False,flexible,Private room,2015.0,$476 ,$95 ,2.0,5.0,11/7/2021,0.6,2.0,1.0,59.0,,
35563165,New Museum 2 BR Loft,47238701126,verified,Désirée,Manhattan,Lower East Side,40.72271,-73.99262,United States,US,False,moderate,Entire home/apt,2005.0,$616 ,$123 ,30.0,77.0,11/7/2021,1.06,4.0,1.0,139.0,,
35563718,"Charming Garden Studio in Sunnyside, NY",33047388282,verified,Leticia,Queens,Sunnyside,40.73445,-73.92222,United States,US,True,moderate,Entire home/apt,2015.0,$772 ,$154 ,30.0,55.0,11/7/2021,0.79,4.0,1.0,293.0,,
35564270,20-25 minutes to downtown NYC/30-40 to midtown,60438862057,unconfirmed,Alan,Brooklyn,Bedford-Stuyvesant,40.69566,-73.93546,United States,US,False,strict,Private room,2020.0,$960 ,$192 ,30.0,107.0,11/7/2021,1.59,2.0,3.0,211.0,,
35564822,Cozy Private Room in Staten Island,10152388003,verified,Felix,Staten Island,Concord,40.6096,-74.08824,United States,US,False,moderate,Private room,2020.0,$671 ,$134 ,1.0,76.0,11/7/2021,1.26,3.0,1.0,179.0,,
35565375,CHARMING ROOM W/ ROOF DECK ACCESS 3 :),7445740146,verified,Suzette And Graham,Brooklyn,Clinton Hill,40.6947,-73.96146,United States,US,True,strict,Private room,2004.0,$740 ,$148 ,30.0,17.0,11/7/2021,0.27,3.0,19.0,334.0,,
